Treat,PLANT_ID,EPICHL_TRT,COLLET_TRT,RHIZOC_TRT,days,Survey.event,Treatment.code,Treat.better,NMDS1,NMDS2
Epi (-),6,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),6,free,mock,mock,4,2,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),6,free,mock,mock,6,3,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),6,free,mock,mock,11,4,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),6,free,mock,mock,14,5,EF,No Symbiont,0.00789638,-0.00102731
Epi (-),6,free,mock,mock,18,6,EF,No Symbiont,0.004863846,0.004075939
Epi (-),6,free,mock,mock,21,7,EF,No Symbiont,0.011501686,-0.004324852
Epi (-),6,free,mock,mock,25,8,EF,No Symbiont,0.008923927,-0.022394626
Epi (-),6,free,mock,mock,28,9,EF,No Symbiont,-0.003480039,-0.025313658
Epi (-),6,free,mock,mock,32,10,EF,No Symbiont,-0.00872909,-0.022055088
Epi (-),6,free,mock,mock,35,11,EF,No Symbiont,-0.012728102,0.009405877
Epi (-),6,free,mock,mock,39,12,EF,No Symbiont,-0.009332464,0.010843526
Epi (-),6,free,mock,mock,42,13,EF,No Symbiont,-0.044963716,0.000695069
Epi (-),22,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),22,free,mock,mock,4,2,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),22,free,mock,mock,6,3,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),22,free,mock,mock,11,4,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),22,free,mock,mock,14,5,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),22,free,mock,mock,18,6,EF,No Symbiont,0.004013594,0.028671469
Epi (-),22,free,mock,mock,21,7,EF,No Symbiont,0.027378877,-0.007011473
Epi (-),22,free,mock,mock,25,8,EF,No Symbiont,-0.037547109,0.289735172
Epi (-),22,free,mock,mock,28,9,EF,No Symbiont,0.001307562,-0.046170599
Epi (-),22,free,mock,mock,32,10,EF,No Symbiont,0.05043948,-0.042940766
Epi (-),22,free,mock,mock,35,11,EF,No Symbiont,-0.018990791,0.006417385
Epi (-),22,free,mock,mock,39,12,EF,No Symbiont,-0.089805182,-0.025908967
Epi (-),22,free,mock,mock,42,13,EF,No Symbiont,-0.009332464,0.010843526
Epi (-),25,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),25,free,mock,mock,4,2,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),25,free,mock,mock,6,3,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),25,free,mock,mock,11,4,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),25,free,mock,mock,14,5,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),25,free,mock,mock,18,6,EF,No Symbiont,0.106292015,-0.081754966
Epi (-),27,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),27,free,mock,mock,4,2,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),27,free,mock,mock,6,3,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),27,free,mock,mock,11,4,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),27,free,mock,mock,14,5,EF,No Symbiont,0.001510999,0.008416806
Epi (-),27,free,mock,mock,18,6,EF,No Symbiont,-0.019590532,0.000477364
Epi (-),27,free,mock,mock,21,7,EF,No Symbiont,-0.018754371,-0.004828268
Epi (-),27,free,mock,mock,25,8,EF,No Symbiont,-0.069930509,-0.092792388
Epi (-),27,free,mock,mock,28,9,EF,No Symbiont,-0.087385148,-0.051627662
Epi (-),27,free,mock,mock,32,10,EF,No Symbiont,0.088219978,-0.115484085
Epi (-),27,free,mock,mock,35,11,EF,No Symbiont,-0.134410725,0.193999109
Epi (-),27,free,mock,mock,39,12,EF,No Symbiont,-0.145248373,-0.061626367
Epi (-),27,free,mock,mock,42,13,EF,No Symbiont,-0.231757675,-0.132273821
Epi (-),35,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),35,free,mock,mock,4,2,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),35,free,mock,mock,6,3,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),35,free,mock,mock,11,4,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),35,free,mock,mock,14,5,EF,No Symbiont,0.018271505,-0.013421814
Epi (-),35,free,mock,mock,18,6,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),35,free,mock,mock,21,7,EF,No Symbiont,0.00789638,-0.00102731
Epi (-),35,free,mock,mock,25,8,EF,No Symbiont,0.039589438,-0.034234395
Epi (-),35,free,mock,mock,28,9,EF,No Symbiont,0.00789638,-0.00102731
Epi (-),35,free,mock,mock,32,10,EF,No Symbiont,0.00789638,-0.00102731
Epi (-),35,free,mock,mock,35,11,EF,No Symbiont,0.039589438,-0.034234395
Epi (-),35,free,mock,mock,39,12,EF,No Symbiont,0.018271505,-0.013421814
Epi (-),35,free,mock,mock,42,13,EF,No Symbiont,0.039589438,-0.034234395
Epi (-),59,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),59,free,mock,mock,4,2,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),59,free,mock,mock,6,3,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),59,free,mock,mock,11,4,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),59,free,mock,mock,14,5,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),59,free,mock,mock,18,6,EF,No Symbiont,0.013365435,-0.005968687
Epi (-),59,free,mock,mock,21,7,EF,No Symbiont,0.018271505,-0.013421814
Epi (-),59,free,mock,mock,25,8,EF,No Symbiont,0.03690785,0.015306712
Epi (-),59,free,mock,mock,28,9,EF,No Symbiont,0.029371948,0.022944768
Epi (-),59,free,mock,mock,32,10,EF,No Symbiont,0.010744409,-0.003219383
Epi (-),59,free,mock,mock,35,11,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),59,free,mock,mock,39,12,EF,No Symbiont,0.001911309,0.025070298
Epi (-),59,free,mock,mock,42,13,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),87,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),87,free,mock,mock,4,2,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),87,free,mock,mock,6,3,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),87,free,mock,mock,11,4,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),87,free,mock,mock,14,5,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),87,free,mock,mock,18,6,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),87,free,mock,mock,21,7,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),87,free,mock,mock,25,8,EF,No Symbiont,-0.022440122,0.006551858
Epi (-),87,free,mock,mock,28,9,EF,No Symbiont,-0.018990791,0.006417385
Epi (-),87,free,mock,mock,32,10,EF,No Symbiont,-0.01551374,0.008536519
Epi (-),87,free,mock,mock,35,11,EF,No Symbiont,-0.01551374,0.008536519
Epi (-),87,free,mock,mock,39,12,EF,No Symbiont,-0.117280589,-0.028424634
Epi (-),87,free,mock,mock,42,13,EF,No Symbiont,-0.113357185,-0.02956675
Epi (-),95,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),95,free,mock,mock,4,2,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),95,free,mock,mock,6,3,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),95,free,mock,mock,11,4,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),95,free,mock,mock,14,5,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),95,free,mock,mock,18,6,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),95,free,mock,mock,21,7,EF,No Symbiont,0.00789638,-0.00102731
Epi (-),95,free,mock,mock,25,8,EF,No Symbiont,-0.016584557,-0.044015631
Epi (-),95,free,mock,mock,28,9,EF,No Symbiont,-0.053959992,-0.002793285
Epi (-),95,free,mock,mock,32,10,EF,No Symbiont,-0.012728102,0.009405877
Epi (-),95,free,mock,mock,35,11,EF,No Symbiont,-0.022440122,0.006551858
Epi (-),95,free,mock,mock,39,12,EF,No Symbiont,-0.006107475,0.012086007
Epi (-),95,free,mock,mock,42,13,EF,No Symbiont,0.003488096,0.005895841
Epi (-),101,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),101,free,mock,mock,4,2,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),101,free,mock,mock,6,3,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),101,free,mock,mock,11,4,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),101,free,mock,mock,14,5,EF,No Symbiont,0.005507197,0.036368587
Epi (-),101,free,mock,mock,18,6,EF,No Symbiont,0.019943706,0.036663599
Epi (-),101,free,mock,mock,21,7,EF,No Symbiont,0.032600941,0.028388639
Epi (-),101,free,mock,mock,25,8,EF,No Symbiont,0.021479985,0.021712137
Epi (-),101,free,mock,mock,28,9,EF,No Symbiont,0.080657373,-0.061847865
Epi (-),101,free,mock,mock,32,10,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),101,free,mock,mock,35,11,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),101,free,mock,mock,39,12,EF,No Symbiont,-0.018990791,0.006417385
Epi (-),101,free,mock,mock,42,13,EF,No Symbiont,-0.00366783,0.013307736
Epi (-),124,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),124,free,mock,mock,4,2,EF,No Symbiont,0.000728476,0.021315817
Epi (-),124,free,mock,mock,6,3,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),124,free,mock,mock,11,4,EF,No Symbiont,0.004013594,0.028671469
Epi (-),124,free,mock,mock,14,5,EF,No Symbiont,0.008527478,0.030856426
Epi (-),124,free,mock,mock,18,6,EF,No Symbiont,0.051402789,-0.016948233
Epi (-),124,free,mock,mock,21,7,EF,No Symbiont,-0.000289908,0.000568372
Epi (-),124,free,mock,mock,25,8,EF,No Symbiont,-0.043103024,-0.030661711
Epi (-),124,free,mock,mock,28,9,EF,No Symbiont,-0.103262842,-0.057311387
Epi (-),124,free,mock,mock,32,10,EF,No Symbiont,-0.127544738,-0.114484683
Epi (-),124,free,mock,mock,35,11,EF,No Symbiont,-0.113754883,-0.202119497
Epi (-),124,free,mock,mock,39,12,EF,No Symbiont,-0.03943045,0.001575071
Epi (-),124,free,mock,mock,42,13,EF,No Symbiont,-0.089246529,-0.017652501
Epi (-),133,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),133,free,mock,mock,4,2,EF,No Symbiont,0.004013594,0.028671469
Epi (-),133,free,mock,mock,6,3,EF,No Symbiont,0.004013594,0.028671469
Epi (-),133,free,mock,mock,11,4,EF,No Symbiont,0.006643977,0.041663128
Epi (-),133,free,mock,mock,14,5,EF,No Symbiont,0.023553584,0.028624017
Epi (-),133,free,mock,mock,18,6,EF,No Symbiont,-0.005108428,0.012415979
Epi (-),133,free,mock,mock,21,7,EF,No Symbiont,-0.011839966,0.009964099
Epi (-),133,free,mock,mock,25,8,EF,No Symbiont,-0.011839966,0.009964099
Epi (-),133,free,mock,mock,28,9,EF,No Symbiont,-0.027655622,0.005678173
Epi (-),133,free,mock,mock,32,10,EF,No Symbiont,-0.034508632,0.001879256
Epi (-),133,free,mock,mock,35,11,EF,No Symbiont,-0.024054527,0.005982449
Epi (-),133,free,mock,mock,39,12,EF,No Symbiont,-0.024054527,0.005982449
Epi (-),133,free,mock,mock,42,13,EF,No Symbiont,-0.089246529,-0.017652501
Epi (-) Col (+),9,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),9,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),9,free,inoculated,mock,14,5,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),9,free,inoculated,mock,18,6,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),9,free,inoculated,mock,21,7,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),9,free,inoculated,mock,25,8,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),9,free,inoculated,mock,28,9,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),9,free,inoculated,mock,32,10,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),9,free,inoculated,mock,35,11,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),9,free,inoculated,mock,39,12,EF_C,Col,-0.000436634,0.003013446
Epi (-) Col (+),9,free,inoculated,mock,42,13,EF_C,Col,0.003488096,0.005895841
Epi (-) Col (+),12,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),12,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),12,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),12,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),12,free,inoculated,mock,14,5,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),12,free,inoculated,mock,18,6,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),12,free,inoculated,mock,21,7,EF_C,Col,0.039589438,-0.034234395
Epi (-) Col (+),12,free,inoculated,mock,25,8,EF_C,Col,0.018271505,-0.013421814
Epi (-) Col (+),12,free,inoculated,mock,28,9,EF_C,Col,0.018271505,-0.013421814
Epi (-) Col (+),12,free,inoculated,mock,32,10,EF_C,Col,0.039589438,-0.034234395
Epi (-) Col (+),12,free,inoculated,mock,35,11,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),12,free,inoculated,mock,39,12,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),16,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),16,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),16,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),16,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),16,free,inoculated,mock,14,5,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),16,free,inoculated,mock,18,6,EF_C,Col,0.003488096,0.005895841
Epi (-) Col (+),16,free,inoculated,mock,21,7,EF_C,Col,0.003488096,0.005895841
Epi (-) Col (+),16,free,inoculated,mock,25,8,EF_C,Col,0.003488096,0.005895841
Epi (-) Col (+),16,free,inoculated,mock,28,9,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),16,free,inoculated,mock,32,10,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),16,free,inoculated,mock,35,11,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),16,free,inoculated,mock,39,12,EF_C,Col,-0.03943045,0.001575071
Epi (-) Col (+),16,free,inoculated,mock,42,13,EF_C,Col,-0.012728102,0.009405877
Epi (-) Col (+),28,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),28,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),28,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),28,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),28,free,inoculated,mock,14,5,EF_C,Col,0.018271505,-0.013421814
Epi (-) Col (+),28,free,inoculated,mock,18,6,EF_C,Col,0.106292015,-0.081754966
Epi (-) Col (+),28,free,inoculated,mock,21,7,EF_C,Col,0.106292015,-0.081754966
Epi (-) Col (+),28,free,inoculated,mock,25,8,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),28,free,inoculated,mock,28,9,EF_C,Col,-0.000613974,0.01137122
Epi (-) Col (+),28,free,inoculated,mock,32,10,EF_C,Col,0.018271505,-0.013421814
Epi (-) Col (+),28,free,inoculated,mock,35,11,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),28,free,inoculated,mock,39,12,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),28,free,inoculated,mock,42,13,EF_C,Col,0.039589438,-0.034234395
Epi (-) Col (+),31,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),31,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),31,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),31,free,inoculated,mock,11,4,EF_C,Col,0.035719069,-0.029489403
Epi (-) Col (+),31,free,inoculated,mock,14,5,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),31,free,inoculated,mock,18,6,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),31,free,inoculated,mock,21,7,EF_C,Col,0.007717983,-0.022846062
Epi (-) Col (+),31,free,inoculated,mock,25,8,EF_C,Col,0.00420512,-0.003839248
Epi (-) Col (+),31,free,inoculated,mock,28,9,EF_C,Col,-0.019025165,-0.044286761
Epi (-) Col (+),31,free,inoculated,mock,32,10,EF_C,Col,-0.00568805,-0.011038928
Epi (-) Col (+),31,free,inoculated,mock,35,11,EF_C,Col,-0.00568805,-0.011038928
Epi (-) Col (+),31,free,inoculated,mock,39,12,EF_C,Col,-0.01350073,-0.015919719
Epi (-) Col (+),31,free,inoculated,mock,42,13,EF_C,Col,-0.022440122,0.006551858
Epi (-) Col (+),45,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,11,4,EF_C,Col,0.001911309,0.025070298
Epi (-) Col (+),45,free,inoculated,mock,14,5,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,18,6,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,21,7,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,25,8,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,28,9,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,32,10,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,35,11,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,39,12,EF_C,Col,-0.078777876,-0.011768262
Epi (-) Col (+),45,free,inoculated,mock,42,13,EF_C,Col,-0.113357185,-0.02956675
Epi (-) Col (+),64,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,14,5,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,18,6,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,21,7,EF_C,Col,-0.022440122,0.006551858
Epi (-) Col (+),64,free,inoculated,mock,25,8,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,28,9,EF_C,Col,-0.006107475,0.012086007
Epi (-) Col (+),64,free,inoculated,mock,32,10,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,35,11,EF_C,Col,-0.009332464,0.010843526
Epi (-) Col (+),64,free,inoculated,mock,39,12,EF_C,Col,-0.018990791,0.006417385
Epi (-) Col (+),64,free,inoculated,mock,42,13,EF_C,Col,-0.03943045,0.001575071
Epi (-) Col (+),71,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),71,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),71,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),71,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),71,free,inoculated,mock,14,5,EF_C,Col,0.003488096,0.005895841
Epi (-) Col (+),71,free,inoculated,mock,18,6,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),71,free,inoculated,mock,21,7,EF_C,Col,0.013365435,-0.005968687
Epi (-) Col (+),71,free,inoculated,mock,25,8,EF_C,Col,0.03390977,-0.028394894
Epi (-) Col (+),78,free,inoculated,mock,25,8,EF_C,Col,0.018271505,-0.013421814
Epi (-) Col (+),78,free,inoculated,mock,28,9,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),78,free,inoculated,mock,32,10,EF_C,Col,0.018271505,-0.013421814
Epi (-) Col (+),78,free,inoculated,mock,35,11,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),78,free,inoculated,mock,39,12,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),78,free,inoculated,mock,42,13,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,14,5,EF_C,Col,0.011501686,-0.004324852
Epi (-) Col (+),80,free,inoculated,mock,18,6,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,21,7,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,25,8,EF_C,Col,-0.000436634,0.003013446
Epi (-) Col (+),80,free,inoculated,mock,28,9,EF_C,Col,-0.022440122,0.006551858
Epi (-) Col (+),80,free,inoculated,mock,32,10,EF_C,Col,-0.002841565,-0.009439819
Epi (-) Col (+),80,free,inoculated,mock,35,11,EF_C,Col,-0.022440122,0.006551858
Epi (-) Col (+),80,free,inoculated,mock,39,12,EF_C,Col,-0.059903423,-0.069662468
Epi (-) Col (+),80,free,inoculated,mock,42,13,EF_C,Col,-0.063020865,-0.006500877
Epi (-) Col (+),102,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),102,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
